size,density,noise_level,accuracy(%),average_optimal_time(s),average_time(s),optimal_cost,cost
10,0.2,0.0,100.00,0.00004113,0.00003812,2254.0,2254.0
10,0.2,0.1,100.00,0.00003354,0.00002797,2334.0,2334.0
10,0.2,0.5,100.00,0.00003464,0.00002904,2526.0,2526.0
10,0.2,0.8,100.00,0.00002443,0.00002123,2224.0,2224.0
10,0.5,0.0,100.00,0.00003006,0.00004255,1029.0,1029.0
10,0.5,0.1,100.00,0.00002962,0.00003250,1019.0,1019.0
10,0.5,0.5,100.00,0.00002417,0.00004764,-inf,-inf
10,0.5,0.8,100.00,0.00002581,0.00004954,-inf,-inf
10,0.8,0.0,100.00,0.00002580,0.00003369,630.0,630.0
10,0.8,0.1,100.00,0.00003305,0.00003793,711.0,711.0
10,0.8,0.5,100.00,0.00002374,0.00004827,-inf,-inf
10,0.8,0.8,100.00,0.00002195,0.00004574,-inf,-inf
10,1.0,0.0,100.00,0.00002391,0.00003233,630.0,630.0
10,1.0,0.1,100.00,0.00003211,0.00004091,711.0,711.0
10,1.0,0.5,100.00,0.00001644,0.00004722,-inf,-inf
10,1.0,0.8,100.00,0.00001581,0.00003978,-inf,-inf
20,0.2,0.0,100.00,0.00003001,0.00003273,1287.0,1287.0
20,0.2,0.1,100.00,0.00002996,0.00003115,1382.0,1382.0
20,0.2,0.5,100.00,0.00004034,0.00003671,1340.0,1340.0
20,0.2,0.8,100.00,0.00002437,0.00009060,-inf,-inf
20,0.5,0.0,100.00,0.00004961,0.00006370,217.0,217.0
20,0.5,0.1,100.00,0.00004887,0.00006209,276.0,276.0
20,0.5,0.5,100.00,0.00004949,0.00016696,-inf,-inf
20,0.5,0.8,100.00,0.00004029,0.00012268,-inf,-inf
20,0.8,0.0,100.00,0.00005822,0.00008447,217.0,217.0
20,0.8,0.1,100.00,0.00007917,0.00010398,276.0,276.0
20,0.8,0.5,100.00,0.00004286,0.00013743,-inf,-inf
20,0.8,0.8,100.00,0.00002908,0.00012225,-inf,-inf
20,1.0,0.0,100.00,0.00007519,0.00011427,217.0,217.0
20,1.0,0.1,100.00,0.00009680,0.00013193,276.0,276.0
20,1.0,0.5,100.00,0.00004966,0.00013803,-inf,-inf
20,1.0,0.8,100.00,0.00002927,0.00015016,-inf,-inf
50,0.2,0.0,100.00,0.00012878,0.00015801,985.0,985.0
50,0.2,0.1,100.00,0.00013168,0.00016207,924.0,924.0
50,0.2,0.5,100.00,0.00013593,0.00045426,-inf,-inf
50,0.2,0.8,100.00,0.00012808,0.00039375,-inf,-inf
50,0.5,0.0,100.00,0.00021132,0.00033201,910.0,910.0
50,0.5,0.1,100.00,0.00030809,0.00044575,742.0,742.0
50,0.5,0.5,100.00,0.00011274,0.00065711,-inf,-inf
50,0.5,0.8,100.00,0.00007498,0.00058161,-inf,-inf
50,0.8,0.0,100.00,0.00030094,0.00050969,910.0,910.0
50,0.8,0.1,100.00,0.00025880,0.00119910,-inf,-inf
50,0.8,0.5,100.00,0.00009500,0.00079473,-inf,-inf
50,0.8,0.8,100.00,0.00007169,0.00063478,-inf,-inf
50,1.0,0.0,100.00,0.00033646,0.00059520,908.0,908.0
50,1.0,0.1,100.00,0.00034503,0.00160143,-inf,-inf
50,1.0,0.5,100.00,0.00010827,0.00095731,-inf,-inf
50,1.0,0.8,100.00,0.00007529,0.00077096,-inf,-inf
