size,density,noise_level,accuracy(%),average_optimal_time(s),average_time(s)
10,0.2,0.0,100.00,0.00002819,0.00002106
10,0.2,0.1,100.00,0.00004639,0.00002774
10,0.2,0.5,100.00,0.00002248,0.00001946
10,0.2,0.8,100.00,0.00001867,0.00001738
10,0.5,0.0,100.00,0.00002783,0.00003234
10,0.5,0.1,100.00,0.00002200,0.00002531
10,0.5,0.5,100.00,0.00002401,0.00002883
10,0.5,0.8,100.00,0.00002195,0.00002345
10,0.8,0.0,100.00,0.00002350,0.00003060
10,0.8,0.1,100.00,0.00002386,0.00003042
10,0.8,0.5,100.00,0.00002350,0.00002907
10,0.8,0.8,100.00,0.00002397,0.00002889
10,1.0,0.0,100.00,0.00002461,0.00003174
10,1.0,0.1,100.00,0.00002326,0.00003087
10,1.0,0.5,100.00,0.00002451,0.00003112
10,1.0,0.8,100.00,0.00002448,0.00003012
20,0.2,0.0,100.00,0.00002929,0.00003237
20,0.2,0.1,100.00,0.00002760,0.00003093
20,0.2,0.5,100.00,0.00002670,0.00003021
20,0.2,0.8,100.00,0.00002983,0.00003318
20,0.5,0.0,100.00,0.00004285,0.00005713
20,0.5,0.1,100.00,0.00004323,0.00005760
20,0.5,0.5,100.00,0.00004258,0.00005645
20,0.5,0.8,100.00,0.00004338,0.00005649
20,0.8,0.0,100.00,0.00006614,0.00008817
20,0.8,0.1,100.00,0.00005852,0.00008545
20,0.8,0.5,100.00,0.00006281,0.00008820
20,0.8,0.8,100.00,0.00006167,0.00008727
20,1.0,0.0,100.00,0.00006602,0.00010396
20,1.0,0.1,100.00,0.00006992,0.00010902
20,1.0,0.5,100.00,0.00007572,0.00010942
20,1.0,0.8,100.00,0.00007474,0.00010579
50,0.2,0.0,100.00,0.00012166,0.00015196
50,0.2,0.1,100.00,0.00012368,0.00015572
50,0.2,0.5,100.00,0.00014383,0.00017426
50,0.2,0.8,100.00,0.00012717,0.00016227
50,0.5,0.0,100.00,0.00021060,0.00033246
50,0.5,0.1,100.00,0.00021235,0.00033303
50,0.5,0.5,100.00,0.00023007,0.00035344
50,0.5,0.8,100.00,0.00024185,0.00036507
50,0.8,0.0,100.00,0.00030670,0.00053657
50,0.8,0.1,100.00,0.00031166,0.00052412
50,0.8,0.5,100.00,0.00033970,0.00054776
50,0.8,0.8,100.00,0.00035002,0.00055853
50,1.0,0.0,100.00,0.00033237,0.00058886
50,1.0,0.1,100.00,0.00038636,0.00067192
50,1.0,0.5,100.00,0.00042367,0.00070242
50,1.0,0.8,100.00,0.00043981,0.00072187
100,0.2,0.0,100.00,0.00038591,0.00057296
100,0.2,0.1,100.00,0.00036831,0.00055455
100,0.2,0.5,100.00,0.00037109,0.00055508
100,0.2,0.8,100.00,0.00037831,0.00056814
100,0.5,0.0,100.00,0.00070695,0.00122350
100,0.5,0.1,100.00,0.00073802,0.00127971
100,0.5,0.5,100.00,0.00080004,0.00135167
100,0.5,0.8,100.00,0.00083848,0.00137638
100,0.8,0.0,100.00,0.00104248,0.00190010
100,0.8,0.1,100.00,0.00119071,0.00215110
100,0.8,0.5,100.00,0.00130625,0.00228112
100,0.8,0.8,100.00,0.00135316,0.00234551
100,1.0,0.0,100.00,0.00129465,0.00238986
100,1.0,0.1,100.00,0.00154562,0.00282127
100,1.0,0.5,100.00,0.00168623,0.00297316
100,1.0,0.8,100.00,0.00175272,0.00305531
200,0.2,0.0,100.00,0.00136911,0.00224589
200,0.2,0.1,100.00,0.00133134,0.00219075
200,0.2,0.5,100.00,0.00139508,0.00224049
200,0.2,0.8,100.00,0.00145236,0.00228361
200,0.5,0.0,100.00,0.00270012,0.00490394
200,0.5,0.1,100.00,0.00296705,0.00528889
200,0.5,0.5,100.00,0.00327613,0.00569931
200,0.5,0.8,100.00,0.00335148,0.00580236
200,0.8,0.0,100.00,0.00412774,0.00768512
200,0.8,0.1,100.00,0.00498357,0.00909529
200,0.8,0.5,100.00,0.00550170,0.00981934
200,0.8,0.8,100.00,0.00569796,0.01003796
200,1.0,0.0,100.00,0.00530742,0.00995159
200,1.0,0.1,100.00,0.00652840,0.01222566
200,1.0,0.5,100.00,0.00706731,0.01281032
200,1.0,0.8,100.00,0.00728156,0.01310121
500,0.2,0.0,100.00,0.00879068,0.01448387
500,0.2,0.1,100.00,0.00877828,0.01434328
500,0.2,0.5,100.00,0.00961761,0.01516230
500,0.2,0.8,100.00,0.01002633,0.01564203
500,0.5,0.0,100.00,0.01897732,0.03285586
500,0.5,0.1,100.00,0.02171565,0.03705482
